name,requests
US,7792
NL,1618
HK,1145
DE,829
SG,726
GB,680
CA,449
CH,218
FR,184
TW,166
CN,116
BE,105
BR,83
IT,69
BG,66
ID,52
TR,49
KR,47
JP,45
SE,32
VN,13
RU,12
TH,12
T1,10
IN,10
LU,9
AU,9
PL,5
UA,5
IR,3
PK,3
RO,3
FI,2
IE,2
AE,1
BH,1
IS,1
AO,1
LT,1
ZA,1
